,press,vol,temp
746,146552.66,0.80,222.58
747,146552.66,0.80,222.60
748,146552.66,0.80,222.62
749,146552.66,0.81,222.64
750,146552.66,0.81,222.66
751,146552.66,0.81,222.68
752,146552.66,0.81,222.70
753,146552.66,0.81,222.71
754,146552.66,0.81,222.73
755,146552.66,0.81,222.75
756,146552.66,0.81,222.77
757,146552.66,0.81,222.79
758,146552.66,0.81,222.81
759,146552.66,0.81,222.83
760,146552.66,0.81,222.85
761,146552.66,0.81,222.86
762,146552.66,0.82,222.88
763,146552.66,0.82,222.90
764,146552.66,0.82,222.92
765,146552.66,0.82,222.94
766,146552.66,0.82,222.96
767,146552.66,0.82,222.98
768,146552.66,0.82,223.00
769,146552.66,0.82,223.01
770,146552.66,0.82,223.03
771,146552.66,0.82,223.03
772,146552.66,0.82,223.03
773,146552.66,0.82,223.03
774,146552.66,0.82,223.03
775,146552.66,0.82,223.03
776,146552.66,0.82,223.03
777,146552.66,0.82,223.03
778,146552.66,0.82,223.03
779,146552.66,0.82,223.03
780,146552.66,0.82,223.03
781,146552.66,0.82,223.03
782,146552.66,0.82,223.03
783,146552.66,0.82,223.03
784,146552.66,0.82,223.03
785,146552.66,0.82,223.03
786,146552.66,0.82,223.03
787,146552.66,0.82,223.03
788,146552.66,0.82,223.03
789,146552.66,0.82,223.03
790,146552.66,0.82,223.03
791,146552.66,0.82,223.03
792,146552.66,0.82,223.03
793,146552.66,0.82,223.03
794,146552.66,0.82,223.03
795,146552.66,0.82,223.03
796,146552.66,0.82,223.03
797,146552.66,0.82,223.03
798,146552.66,0.82,223.03
799,146552.66,0.82,223.03
800,146552.66,0.82,223.03
801,146552.66,0.82,223.03
802,146552.66,0.82,223.03
803,146552.66,0.82,223.03
804,146552.66,0.82,223.05
805,146552.66,0.82,223.07
806,146552.66,0.82,223.09
807,146552.66,0.83,223.11
808,146552.66,0.83,223.13
809,146552.66,0.83,223.15
810,146552.66,0.83,223.16
811,146552.66,0.83,223.18
812,146552.66,0.83,223.20
813,146552.66,0.83,223.22
814,146552.66,0.83,223.24
815,146552.66,0.83,223.26
816,146552.66,0.83,223.28
817,146552.66,0.83,223.30
818,146552.66,0.83,223.31
819,146552.66,0.84,223.33
820,146552.66,0.84,223.35
821,146552.66,0.84,223.37
822,146552.66,0.84,223.39
823,146552.66,0.84,223.41
824,146552.66,0.84,223.43
825,146552.66,0.84,223.44
826,146552.66,0.84,223.46
827,146552.66,0.84,223.48
828,146552.66,0.84,223.50
829,146552.66,0.84,223.52
830,146552.66,0.84,223.54
831,146552.66,0.85,223.56
832,146552.66,0.85,223.58
833,146552.66,0.85,223.59
834,146552.66,0.85,223.61
835,146552.66,0.85,223.63
836,146552.66,0.85,223.65
837,146552.66,0.85,223.67
838,146552.66,0.85,223.69
839,146552.66,0.85,223.71
840,146552.66,0.85,223.73
841,146564.92,0.85,223.74
842,146577.19,0.85,223.76
843,146589.45,0.85,223.78
844,146601.72,0.85,223.80
845,146613.98,0.85,223.82
846,146626.25,0.85,223.84
847,146638.52,0.85,223.86
848,146650.78,0.85,223.88
849,146663.05,0.85,223.89
850,146675.33,0.85,223.91
851,146687.58,0.85,223.93
852,146699.84,0.85,223.95
853,146712.11,0.85,223.97
854,146724.38,0.85,223.99
855,146736.64,0.85,224.01
856,146748.91,0.85,224.03
857,146761.17,0.85,224.04
858,146773.44,0.85,224.06
859,146785.70,0.85,224.08
860,146797.97,0.85,224.10
861,146810.23,0.85,224.12
862,146822.50,0.85,224.14
863,146834.77,0.85,224.16
864,146847.03,0.85,224.18
865,146859.30,0.85,224.19
866,146871.56,0.85,224.21
867,146883.83,0.85,224.23
868,146896.08,0.85,224.25
869,146908.34,0.85,224.27
870,146920.61,0.85,224.29
871,146932.88,0.85,224.31
872,146945.14,0.85,224.32
873,146957.41,0.85,224.34
874,146969.67,0.85,224.36
875,146981.94,0.85,224.38
876,146994.20,0.85,224.40
877,147006.47,0.85,224.42
878,147018.73,0.85,224.44
879,147031.00,0.85,224.46
880,147043.27,0.85,224.47
881,147055.53,0.85,224.49
882,147067.80,0.85,224.51
883,147080.06,0.85,224.53
884,147092.33,0.85,224.55
885,147104.58,0.85,224.57
886,147116.84,0.85,224.59
887,147129.11,0.85,224.61
888,147141.38,0.85,224.62
889,147153.64,0.85,224.64
890,147165.91,0.85,224.66
891,147178.17,0.85,224.68
892,147190.44,0.85,224.70
893,147202.70,0.85,224.72
894,147214.97,0.85,224.74
895,147227.23,0.85,224.76
896,147239.50,0.85,224.77
897,147251.77,0.85,224.79
898,147264.03,0.85,224.81
899,147276.30,0.85,224.83
900,147288.56,0.85,224.85
901,147300.83,0.85,224.87
902,147313.08,0.85,224.89
903,147325.33,0.85,224.91
904,147337.59,0.85,224.92
905,147349.86,0.85,224.94
906,147362.12,0.85,224.96
907,147362.12,0.85,224.98
908,147362.12,0.85,225.00
909,147362.12,0.86,225.02
910,147362.12,0.86,225.04
911,147362.12,0.86,225.06
912,147362.12,0.86,225.07
913,147362.12,0.86,225.09
914,147362.12,0.86,225.11
915,147362.12,0.86,225.13
916,147362.12,0.86,225.15
917,147362.12,0.86,225.17
918,147362.12,0.86,225.19
919,147362.12,0.86,225.20
920,147362.12,0.86,225.22
921,147362.12,0.86,225.24
922,147362.12,0.87,225.26
923,147362.12,0.87,225.28
924,147362.12,0.87,225.30
925,147362.12,0.87,225.32
926,147362.12,0.87,225.34
927,147362.12,0.87,225.35
928,147362.12,0.87,225.37
929,147362.12,0.87,225.39
